xmag ymag zmag xacc yacc zacc
-3272 1570 -5344 3910 -1228 1179
-3277 1600 -5344 3829 -1191 1141
-3277 1600 -5344 3776 -1215 1090
-3277 1600 -5344 3762 -1239 995
-3277 1600 -5344 3743 -1175 987
-3277 1600 -5344 3589 -1101 1177
-3277 1600 -5344 3881 -1309 1360
-3238 1972 -5255 4103 -1383 1303
-3238 1972 -5255 4273 -1409 1381
-3238 1972 -5255 4240 -1394 1322
-3238 1972 -5255 4061 -1376 1221
-3238 1972 -5255 4036 -1336 1167
-3238 1972 -5255 3828 -1262 1297
-3238 1972 -5255 4031 -1305 1322
-3139 2327 -5136 4094 -1198 1404
-3139 2327 -5136 4086 -1076 1523
-3139 2327 -5136 4132 -1153 1505
-3139 2327 -5136 4337 -1083 1400
-3139 2327 -5136 4107 -1022 1502
-3139 2327 -5136 4041 -961 1420
-3139 2327 -5136 3929 -907 1358
-2989 2540 -5144 3777 -947 1309
-2989 2540 -5144 3847 -1107 1112
-2989 2540 -5144 3779 -1205 1216
-2989 2540 -5144 3692 -1347 1112
-2989 2540 -5144 3528 -1563 1084
-2989 2540 -5144 3479 -1605 871
-2989 2540 -5144 3355 -1997 1374
-2917 2662 -5187 3168 -1708 1120
-2917 2662 -5187 3273 -1885 849
-2917 2662 -5187 3294 -2032 889
-2917 2662 -5187 3315 -2307 754
-2917 2662 -5187 3293 -2411 639
-2917 2662 -5187 3405 -2522 526
-2917 2662 -5187 3102 -2599 610
-2860 2736 -5095 3481 -2853 558
-2860 2736 -5095 3445 -2729 554
-2860 2736 -5095 3330 -2678 674
-2860 2736 -5095 3397 -2657 605
-2860 2736 -5095 3353 -2621 609
-2860 2736 -5095 3354 -2602 576
-2860 2736 -5095 3439 -2815 888
-2883 2767 -5097 3485 -2334 812
-2883 2767 -5097 3553 -2083 564
-2883 2767 -5097 3800 -2072 786
-2883 2767 -5097 3633 -2231 864
-2883 2767 -5097 3721 -2494 764
-2883 2767 -5097 3770 -2564 658
-2883 2767 -5097 3775 -2577 618
-2842 2799 -5127 3880 -2446 553
-2842 2799 -5127 3987 -2211 695
-2842 2799 -5127 3902 -1954 774
-2842 2799 -5127 3926 -1802 903
-2842 2799 -5127 3978 -1754 846
-2842 2799 -5127 4300 -1934 530
-2842 2799 -5127 4424 -2105 367
-2737 2913 -5056 4425 -1951 734
-2737 2913 -5056 4438 -1834 673
-2737 2913 -5056 4475 -1677 660
-2737 2913 -5056 4439 -1545 417
-2737 2913 -5056 4485 -1899 182
-2737 2913 -5056 4462 -1978 162
-2519 3153 -5027 4220 -1974 -42
-2519 3153 -5027 4180 -2256 24
-2519 3153 -5027 4257 -2313 -44
-2519 3153 -5027 4111 -2365 -50
-2519 3153 -5027 4078 -2394 -182
-2519 3153 -5027 3810 -2146 -274
-2519 3153 -5027 3698 -2290 -271
-2218 3427 -4883 3713 -2317 -401
-2218 3427 -4883 3721 -2513 -384
-2218 3427 -4883 3506 -2514 -346
-2218 3427 -4883 3288 -2738 -363
-2218 3427 -4883 3208 -2961 -412
-2218 3427 -4883 3173 -2977 -373
-2218 3427 -4883 2832 -3181 -196
-1962 3573 -4732 2909 -2779 -70
-1962 3573 -4732 2900 -2792 1
-1962 3573 -4732 2740 -2738 125
-1962 3573 -4732 2760 -2577 343
-1962 3573 -4732 2904 -2646 275
-1962 3573 -4732 2694 -2379 280
-1962 3573 -4732 2646 -2186 528
-1778 3684 -4625 2741 -2229 309
-1778 3684 -4625 2843 -2256 426
-1778 3684 -4625 2841 -2139 504
-1778 3684 -4625 2920 -2158 476
-1778 3684 -4625 2969 -2189 539
-1778 3684 -4625 3117 -2191 580
-1778 3684 -4625 3066 -2183 482
-1705 3731 -4517 3141 -2231 509
-1705 3731 -4517 3076 -2202 441
-1705 3731 -4517 3118 -2430 459
-1705 3731 -4517 3139 -2437 620
-1705 3731 -4517 3164 -2438 770
-1705 3731 -4517 3282 -2140 690
-1663 3802 -4322 3236 -2268 796
-1663 3802 -4322 3246 -2252 781
-1663 3802 -4322 3316 -2192 1103
-1663 3802 -4322 3391 -2057 1128
-1663 3802 -4322 3359 -1983 837
-1663 3802 -4322 3346 -2019 903
-1663 3802 -4322 3591 -2003 1107
-1682 3865 -4183 3624 -1968 1184
-1682 3865 -4183 3814 -1776 1096
-1682 3865 -4183 4081 -1780 1081
-1682 3865 -4183 3905 -1853 1031
-1682 3865 -4183 4096 -1986 599
-1682 3865 -4183 4010 -2278 498
-1682 3865 -4183 4008 -2445 27
-1709 3876 -3917 4218 -2586 305
-1709 3876 -3917 4101 -2249 274
-1709 3876 -3917 3962 -2158 183
-1709 3876 -3917 4069 -2077 145
-1709 3876 -3917 3926 -2083 158
-1709 3876 -3917 3815 -1981 97
-1709 3876 -3917 3861 -2001 26
-1736 3973 -3676 3919 -1966 -232
-1736 3973 -3676 3889 -2131 -154
-1736 3973 -3676 3976 -2534 -169
-1736 3973 -3676 3919 -2277 -101
-1736 3973 -3676 3840 -2292 -268
-1736 3973 -3676 3945 -2278 -309
-1736 3973 -3676 3881 -2061 -428
-1798 3965 -3306 3784 -1918 -453
-1798 3965 -3306 3570 -1874 -374
-1798 3965 -3306 3636 -1862 -582
-1798 3965 -3306 3712 -1731 -539
-1798 3965 -3306 3857 -1701 -760
-1798 3965 -3306 4147 -1651 -512
-1798 3965 -3306 3840 -1722 -713
-1967 3931 -2992 4010 -1820 -662
-1967 3931 -2992 4132 -2010 -695
-1967 3931 -2992 4142 -2072 -847
-1967 3931 -2992 4330 -2168 -1065
-1967 3931 -2992 4365 -2218 -1084
-1967 3931 -2992 4396 -2112 -1079
-2177 3767 -2551 4199 -2067 -1166
-2177 3767 -2551 4090 -2126 -1531
-2177 3767 -2551 3971 -2119 -1589
-2177 3767 -2551 3960 -1990 -1574
-2177 3767 -2551 3827 -1821 -1539
-2177 3767 -2551 3633 -1774 -1464
-2177 3767 -2551 3973 -1797 -1665
-2524 3542 -2296 4099 -2099 -1683
-2524 3542 -2296 4214 -2298 -1783
-2524 3542 -2296 4349 -2357 -1711
-2524 3542 -2296 4340 -2376 -1848
-2524 3542 -2296 4291 -2299 -2096
-2524 3542 -2296 4290 -2316 -2135
-2524 3542 -2296 4273 -2309 -2129
-2928 3271 -2196 4411 -2307 -1972
-2928 3271 -2196 4401 -2319 -2366
-2928 3271 -2196 4181 -2627 -2964
-2928 3271 -2196 4383 -2559 -2181
-2928 3271 -2196 4701 -2610 -2043
-2928 3271 -2196 4453 -2555 -2372
-2928 3271 -2196 4372 -2808 -2453
-3323 2825 -2162 4505 -2479 -2092
-3323 2825 -2162 4356 -2254 -2172
-3323 2825 -2162 4146 -2120 -2335
-3323 2825 -2162 4047 -1959 -1969
-3323 2825 -2162 4066 -2044 -1914
-3323 2825 -2162 3876 -1964 -2126
-3323 2825 -2162 3930 -2004 -2168
-3667 2390 -2257 4177 -1999 -1989
-3667 2390 -2257 4175 -1939 -1870
-3667 2390 -2257 4119 -1866 -1964
-3667 2390 -2257 4161 -1773 -1773
-3667 2390 -2257 4092 -1680 -1651
-3667 2390 -2257 3976 -1544 -1790
-3852 2004 -2454 3879 -1455 -1694
-3852 2004 -2454 3934 -1466 -1630
-3852 2004 -2454 3903 -1563 -1780
-3852 2004 -2454 3919 -1545 -1782
-3852 2004 -2454 3955 -1455 -1599
