xmag ymag zmag
1923 444 -1080
1954 441 -1101
1954 441 -1101
1954 441 -1101
1954 441 -1101
1954 441 -1101
1954 441 -1101
1954 441 -1101
1954 441 -1101
2206 308 -1394
2206 308 -1394
2206 308 -1394
2206 308 -1394
2206 308 -1394
2206 308 -1394
2206 308 -1394
2206 308 -1394
2382 170 -1773
2382 170 -1773
2382 170 -1773
2382 170 -1773
2382 170 -1773
2382 170 -1773
2382 170 -1773
2382 170 -1773
2515 66 -2084
2515 66 -2084
2515 66 -2084
2515 66 -2084
2515 66 -2084
2515 66 -2084
2515 66 -2084
2515 66 -2084
2617 -30 -2442
2617 -30 -2442
2617 -30 -2442
2617 -30 -2442
2617 -30 -2442
2617 -30 -2442
2617 -30 -2442
2617 -30 -2442
2652 10 -2838
2652 10 -2838
2652 10 -2838
2652 10 -2838
2652 10 -2838
2652 10 -2838
2652 10 -2838
2652 10 -2838
2690 163 -3164
2690 163 -3164
2690 163 -3164
2690 163 -3164
2690 163 -3164
2690 163 -3164
2690 163 -3164
2690 163 -3420
2668 244 -3441
2668 244 -3441
2668 244 -3441
2668 244 -3441
2668 244 -3441
2668 244 -3441
2668 244 -3441
2668 209 -3610
2677 209 -3610
2677 209 -3610
2677 209 -3610
2677 209 -3610
2677 209 -3610
2677 209 -3610
2677 209 -3610
2619 187 -3837
2619 187 -3837
2619 187 -3837
2619 187 -3837
2619 187 -3837
2619 187 -3837
2619 187 -3837
2619 187 -3837
2524 249 -4169
2524 249 -4169
2524 249 -4169
2524 249 -4169
2524 249 -4169
2524 249 -4169
2524 249 -4169
2524 249 -4169
2391 360 -4573
2391 360 -4573
2391 360 -4573
2391 360 -4573
2391 360 -4573
2391 360 -4573
2391 360 -4573
2391 360 -4573
2243 552 -4929
2243 552 -4929
2243 552 -4929
2243 552 -4929
2243 552 -4929
2243 552 -4929
2243 552 -4929
2243 552 -4929
2092 662 -5140
2092 662 -5140
2092 662 -5140
2092 662 -5140
2092 662 -5140
2092 662 -5140
2092 662 -5140
2092 662 -5140
2023 627 -5218
2023 627 -5218
2023 627 -5218
2023 627 -5218
2023 627 -5218
2023 627 -5218
2023 627 -5218
2023 627 -5218
1940 670 -5308
1940 670 -5308
1940 670 -5308
1940 670 -5308
1940 670 -5308
1940 670 -5308
1940 670 -5308
1940 670 -5308
1819 759 -5440
1819 759 -5440
1819 759 -5440
1819 759 -5440
1819 759 -5440
1819 759 -5440
1819 759 -5440
1819 759 -5440
1670 760 -5603
1670 760 -5603
1670 760 -5603
1670 760 -5603
1670 760 -5603
1670 760 -5603
1670 760 -5603
1670 760 -5603
1556 924 -5700
1556 924 -5700
1556 924 -5700
1556 924 -5700
1556 924 -5700
1556 924 -5700
1556 924 -5700
1556 924 -5700
1427 1011 -5805
1427 1011 -5805
1427 1011 -5805
1427 1011 -5805
1427 1011 -5805
1427 1011 -5805
1427 1011 -5805
1427 1011 -5805
1242 1021 -5935
1242 1021 -5935
1242 1021 -5935
1242 1021 -5935
1242 1021 -5935
1242 1021 -5935
1242 1021 -5935
1242 1021 -5935
963 1072 -6164
963 1072 -6164
963 1072 -6164
963 1072 -6164
963 1072 -6164
963 1072 -6164
963 1072 -6164
963 1072 -6164
604 1089 -6342
604 1089 -6342
604 1089 -6342
604 1089 -6342
604 1089 -6342
604 1089 -6342
604 1089 -6342
604 1089 -6342
162 1039 -6473
162 1039 -6473
162 1039 -6473
162 1039 -6473
162 1039 -6473
162 1039 -6473
162 1039 -6473
162 1039 -6473
-420 894 -6580
-420 894 -6580
-420 894 -6580
-420 894 -6580
-420 894 -6580
-420 894 -6580
-420 894 -6580
-420 894 -6580
-990 792 -6623
-990 792 -6623
-990 792 -6623
-990 792 -6623
-990 792 -6623
-990 792 -6623
-990 792 -6623
-990 792 -6623
-1508 800 -6581
-1508 800 -6581
-1508 800 -6581
-1508 800 -6581
-1508 800 -6581
-1508 800 -6581
-1508 800 -6581
-1508 800 -6581
-1967 692 -6377
-1967 692 -6377
-1967 692 -6377
-1967 692 -6377
-1967 692 -6377
-1967 692 -6377
-1967 692 -6377
-1967 692 -6377
-2395 651 -6182
-2395 651 -6182
-2395 651 -6182
-2395 651 -6182
-2395 651 -6182
-2395 651 -6182
-2395 651 -6182
-2395 651 -6182
-2752 667 -6013
-2752 667 -6013
-2752 667 -6013
-2752 667 -6013
-2752 667 -6013
-2752 667 -6013
-2752 667 -6013
-2752 667 -6013
-3021 763 -5722
-3021 763 -5722
-3021 763 -5722
-3021 763 -5722
-3021 763 -5722
-3021 763 -5722
-3021 763 -5722
-3021 763 -5722
-3428 959 -5400
-3428 959 -5400
-3428 959 -5400
-3428 959 -5400
-3428 959 -5400
-3428 959 -5400
-3428 959 -5400
-3428 959 -5400
-3754 1240 -4857
-3754 1240 -4857
-3754 1240 -4857
-3754 1240 -4857
-3754 1240 -4857
-3754 1240 -4857
-3754 1240 -4857
-3754 1240 -4857
-3927 1448 -4427
-3927 1448 -4427
-3927 1448 -4427
-3927 1448 -4427
-3927 1448 -4427
-3927 1448 -4427
-3927 1448 -4427
-3927 1448 -4427
-4049 1551 -4243
-4049 1551 -4243
-4049 1551 -4243
-4049 1551 -4243
-4049 1551 -4243
-4049 1551 -4243
-4049 1551 -4243
-4049 1551 -4243
-3998 1757 -4172
-3998 1757 -4172
-3998 1757 -4172
-3998 1757 -4172
-3998 1757 -4172
-3998 1757 -4172
-3998 1757 -4172
-3998 1757 -4172
-3977 2023 -4083
-3977 2023 -4083
-3977 2023 -4083
-3977 2023 -4083
-3977 2023 -4083
-3977 2023 -4083
-3977 2023 -4083
-3977 2023 -4083
-3941 2200 -3859
-3941 2200 -3859
-3941 2200 -3859
-3941 2200 -3859
-3941 2200 -3859
-3941 2200 -3859
-3941 2200 -3859
-3941 2200 -3859
-3910 2282 -3682
-3910 2282 -3682
-3910 2282 -3682
-3910 2282 -3682
-3910 2282 -3682
-3910 2282 -3682
-3910 2282 -3682
-3910 2282 -3682
-3939 2350 -3582
-3939 2350 -3582
-3939 2350 -3582
-3939 2350 -3582
-3939 2350 -3582
-3939 2350 -3582
-3939 2350 -3582
-3909 2389 -3487
-3909 2389 -3487
-3909 2389 -3487
-3909 2389 -3487
-3909 2389 -3487
-3909 2389 -3487
-3909 2389 -3487
-3909 2389 -3487
-3827 2531 -3220
-3827 2531 -3220
-3827 2531 -3220
-3827 2531 -3220
-3827 2531 -3220
-3827 2531 -3220
-3827 2531 -3220
-3827 2531 -3220
-3777 2630 -3043
-3777 2630 -3043
-3777 2630 -3043
-3777 2630 -3043
-3777 2630 -3043
-3777 2630 -3043
-3777 2630 -3043
-3777 2630 -3043
-3707 2734 -2804
-3707 2734 -2804
-3707 2734 -2804
-3707 2734 -2804
-3707 2734 -2804
-3707 2734 -2804
-3707 2734 -2804
-3707 2734 -2804
-3623 2714 -2544
-3623 2714 -2544
-3623 2714 -2544
-3623 2714 -2544
-3623 2714 -2544
-3623 2714 -2544
-3623 2714 -2544
-3623 2714 -2544
-3505 2744 -2180
-3505 2744 -2180
-3505 2744 -2180
-3505 2744 -2180
-3505 2744 -2180
-3505 2744 -2180
-3505 2744 -2180
-3505 2744 -2180
-3419 2690 -1942
-3419 2690 -1942
-3419 2690 -1942
-3419 2690 -1942
-3419 2690 -1942
-3419 2690 -1942
-3419 2690 -1942
-3419 2690 -1942
-3326 2589 -1678
-3326 2589 -1678
-3326 2589 -1678
-3326 2589 -1678
-3326 2589 -1678
-3326 2589 -1678
-3326 2589 -1678
-3326 2589 -1678
-3292 2403 -1443
-3292 2403 -1443
-3292 2403 -1443
-3292 2403 -1443
-3292 2403 -1443
-3292 2403 -1443
-3292 2403 -1443
-3292 2403 -1443
-3329 2224 -1410
-3329 2224 -1410
-3329 2224 -1410
-3329 2224 -1410
-3329 2224 -1410
-3329 2224 -1410
-3329 2224 -1410
-3329 2224 -1410
-3544 2026 -1645
-3544 2026 -1645
-3544 2026 -1645
-3544 2026 -1645
-3544 2026 -1645
-3544 2026 -1645
-3544 2026 -1645
-3544 2026 -1645
-3852 1874 -2095
-3852 1874 -2095
-3852 1874 -2095
-3852 1874 -2095
-3852 1874 -2095
-3852 1874 -2095
-3852 1874 -2095
-3852 1874 -2095
-3955 1765 -2207
-3955 1765 -2207
-3955 1765 -2207
-3955 1765 -2207
-3955 1765 -2207
-3955 1765 -2207
-3955 1765 -2207
-3955 1765 -2207
-3925 1864 -2218
-3925 1864 -2218
-3925 1864 -2218
-3925 1864 -2218
-3925 1864 -2218
-3925 1864 -2218
-3925 1864 -2218
-3925 1864 -2218
-3869 1958 -2163
-3869 1958 -2163
-3869 1958 -2163
-3869 1958 -2163
-3869 1958 -2163
-3869 1958 -2163
-3869 1958 -2163
-3869 1958 -2163
-3862 1964 -2152
-3862 1964 -2152
-3862 1964 -2152
-3862 1964 -2152
-3862 1964 -2152
-3862 1964 -2152
-3862 1964 -2152
-3862 1964 -2152
-3805 1775 -1930
-3805 1775 -1930
-3805 1775 -1930
-3805 1775 -1930
-3805 1775 -1930
-3805 1775 -1930
-3805 1775 -1930
-3805 1775 -1930
-3690 1433 -1569
-3690 1433 -1569
-3690 1433 -1569
-3690 1433 -1569
-3690 1433 -1569
-3690 1433 -1569
-3690 1433 -1569
-3690 1433 -1569
-3539 1067 -1290
-3539 1067 -1290
-3539 1067 -1290
-3539 1067 -1290
-3539 1067 -1290
-3539 1067 -1290
-3539 1067 -1290
-3539 1067 -1290
-3503 841 -1208
-3503 841 -1208
-3503 841 -1208
-3503 841 -1208
-3503 841 -1208
-3503 841 -1208
-3503 841 -1208
-3503 841 -1208
-3536 868 -1258
-3536 868 -1258
-3536 868 -1258
-3536 868 -1258
-3536 868 -1258
-3536 868 -1258
-3536 868 -1258
-3536 868 -1258
-3598 900 -1362
-3598 900 -1362
-3598 900 -1362
-3598 900 -1362
-3598 900 -1362
-3598 900 -1362
-3598 900 -1362
-3598 900 -1362
-3620 925 -1491
-3620 925 -1491
-3620 925 -1491
-3620 925 -1491
-3620 925 -1491
-3620 925 -1491
-3620 925 -1491
-3620 925 -1491
-3684 946 -1538
-3684 946 -1538
-3684 946 -1538
-3684 946 -1538
-3684 946 -1538
-3684 946 -1538
-3684 946 -1538
-3684 946 -1538
-3669 1012 -1553
-3669 1012 -1553
-3669 1012 -1553
-3669 1012 -1553
-3669 1012 -1553
-3669 1012 -1553
-3669 1012 -1553
-3669 1012 -1553
-3748 1034 -1612
-3748 1034 -1612
-3748 1034 -1612
-3748 1034 -1612
-3748 1034 -1612
-3748 1034 -1612
-3748 1034 -1612
-3748 1034 -1612
-3816 999 -1701
-3816 999 -1701
-3816 999 -1701
-3816 999 -1701
-3816 999 -1701
-3816 999 -1701
-3816 999 -1701
-3816 999 -1701
-3841 976 -1780
-3841 976 -1780
-3841 976 -1780
-3841 976 -1780
-3841 976 -1780
-3841 976 -1780
-3841 976 -1780
-3841 976 -1780
-3880 913 -1943
-3880 913 -1943
-3880 913 -1943
-3880 913 -1943
-3880 913 -1943
-3880 913 -1943
-3880 913 -1943
-3880 913 -1943
-3952 864 -2137
-3952 864 -2137
-3952 864 -2137
-3952 864 -2137
-3952 864 -2137
-3952 864 -2137
-3952 864 -2137
-3952 864 -2137
-3942 801 -2172
-3942 801 -2172
-3942 801 -2172
-3942 801 -2172
-3942 801 -2172
-3942 801 -2172
-3942 801 -2172
-3900 627 -2210
-3900 627 -2210
-3900 627 -2210
-3900 627 -2210
-3900 627 -2210
-3900 627 -2210
-3900 627 -2210
-3900 627 -2210
-3937 476 -2262
-3937 476 -2262
-3937 476 -2262
-3937 476 -2262
-3937 476 -2262
-3937 476 -2262
-3937 476 -2262
-3937 476 -2262
-4029 579 -2419
-4029 579 -2419
-4029 579 -2419
-4029 579 -2419
-4029 579 -2419
-4029 579 -2419
-4029 579 -2419
-4029 579 -2419
-4056 774 -2579
-4056 774 -2579
-4056 774 -2579
-4056 774 -2579
-4056 774 -2579
-4056 774 -2579
-4056 774 -2579
-4056 774 -2579
-4110 981 -2571
-4110 981 -2571
-4110 981 -2571
-4110 981 -2571
-4110 981 -2571
-4110 981 -2571
-4110 981 -2571
-4110 981 -2571
-4079 1064 -2559
-4079 1064 -2559
-4079 1064 -2559
-4079 1064 -2559
-4079 1064 -2559
-4079 1064 -2559
-4079 1064 -2559
-4079 1064 -2559
-4079 1126 -2488
-4079 1126 -2488
-4079 1126 -2488
-4079 1126 -2488
-4079 1126 -2488
-4079 1126 -2488
-4079 1126 -2488
-4079 1126 -2488
-4090 1342 -2479
-4090 1342 -2479
-4090 1342 -2479
-4090 1342 -2479
-4090 1342 -2479
-4090 1342 -2479
-4090 1342 -2479
-4090 1342 -2479
-4040 1642 -2485
-4040 1642 -2485
-4040 1642 -2485
-4040 1642 -2485
-4040 1642 -2485
-4040 1642 -2485
-4040 1642 -2485
-4040 1642 -2485
-3956 1960 -2406
-3956 1960 -2406
-3956 1960 -2406
-3956 1960 -2406
-3956 1960 -2406
-3956 1960 -2406
-3956 1960 -2406
-3956 1960 -2406
-3741 2392 -2384
-3741 2392 -2384
-3741 2392 -2384
-3741 2392 -2384
-3741 2392 -2384
-3741 2392 -2384
-3741 2392 -2384
-3741 2392 -2384
-3449 3008 -2500
-3449 3008 -2500
-3449 3008 -2500
-3449 3008 -2500
-3449 3008 -2500
-3449 3008 -2500
-3449 3008 -2500
-3449 3008 -2500
-2986 3557 -2839
-2986 3557 -2839
-2986 3557 -2839
-2986 3557 -2839
-2986 3557 -2839
-2986 3557 -2839
-2986 3557 -2839
-2986 3557 -2839
-2446 3865 -3450
-2446 3865 -3450
-2446 3865 -3450
-2446 3865 -3450
-2446 3865 -3450
-2446 3865 -3450
-2446 3865 -3450
-2446 3865 -3450
-2023 3979 -4078
-2023 3979 -4078
-2023 3979 -4078
-2023 3979 -4078
-2023 3979 -4078
-2023 3979 -4078
-2023 3979 -4078
-2023 3979 -4078
-1495 3820 -4694
-1495 3820 -4694
-1495 3820 -4694
-1495 3820 -4694
-1495 3820 -4694
-1495 3820 -4694
-1495 3820 -4694
-1495 3820 -4694
-1111 3604 -5144
-1111 3604 -5144
-1111 3604 -5144
-1111 3604 -5144
-1111 3604 -5144
-1111 3604 -5144
-1111 3604 -5144
-1111 3604 -5144
-848 3311 -5522
-848 3311 -5522
-848 3311 -5522
-848 3311 -5522
-848 3311 -5522
-848 3311 -5522
-848 3311 -5522
-848 3311 -5522
-734 2730 -5978
-734 2730 -5978
-734 2730 -5978
-734 2730 -5978
-734 2730 -5978
-734 2730 -5978
-734 2730 -5978
-734 2730 -5978
-759 2093 -6363
-759 2093 -6363
-759 2093 -6363
-759 2093 -6363
-759 2093 -6363
-759 2093 -6363
-759 2093 -6363
-759 2093 -6363
-696 1081 -6568
-696 1081 -6568
-696 1081 -6568
-696 1081 -6568
-696 1081 -6568
-696 1081 -6568
-696 1081 -6568
-696 1081 -6568
-819 951 -6600
-819 951 -6600
-819 951 -6600
-819 951 -6600
-819 951 -6600
-819 951 -6600
-819 951 -6600
-819 951 -6600
-921 680 -6581
-921 680 -6581
-921 680 -6581
-921 680 -6581
-921 680 -6581
-921 680 -6581
-921 680 -6581
-921 680 -6581
-894 307 -6520
-894 307 -6520
-894 307 -6520
-894 307 -6520
-894 307 -6520
-894 307 -6520
-894 307 -6520
-894 307 -6520
-1053 14 -6447
-1053 14 -6447
-1053 14 -6447
-1053 14 -6447
-1053 14 -6447
-1053 14 -6447
-1053 14 -6447
-1053 14 -6447
-1202 -280 -6338
-1202 -280 -6338
-1202 -280 -6338
-1202 -280 -6338
-1202 -280 -6338
-1202 -280 -6338
-1202 -280 -6338
