xmag ymag zmag
-4148 1542 -3280
-4116 1735 -3280
-4116 1735 -3280
-4116 1735 -3280
-4116 1735 -3280
-4116 1735 -3280
-4116 1735 -3280
-4116 1735 -3280
-4116 1735 -3243
-4144 1644 -3243
-4144 1644 -3243
-4144 1644 -3243
-4144 1644 -3243
-4144 1644 -3243
-4144 1644 -3243
-4144 1644 -3243
-4144 1644 -3243
-4197 1497 -3072
-4197 1497 -3072
-4197 1497 -3072
-4197 1497 -3072
-4197 1497 -3072
-4197 1497 -3072
-4197 1497 -3072
-4197 1497 -3072
-4193 1320 -3084
-4193 1320 -3084
-4193 1320 -3084
-4193 1320 -3084
-4193 1320 -3084
-4193 1320 -3084
-4193 1320 -3084
-4193 1320 -3084
-4168 1329 -3180
-4168 1329 -3180
-4168 1329 -3180
-4168 1329 -3180
-4168 1329 -3180
-4168 1329 -3180
-4168 1329 -3180
-4168 1329 -3180
-4141 1544 -3264
-4141 1544 -3264
-4141 1544 -3264
-4141 1544 -3264
-4141 1544 -3264
-4141 1544 -3264
-4141 1544 -3264
-4141 1544 -3264
-4074 1797 -3288
-4074 1797 -3288
-4074 1797 -3288
-4074 1797 -3288
-4074 1797 -3288
-4074 1797 -3288
-4074 1797 -3288
-4074 1797 -3288
-4024 1896 -3337
-4024 1896 -3337
-4024 1896 -3337
-4024 1896 -3337
-4024 1896 -3337
-4024 1896 -3337
-4024 1896 -3337
-4024 1896 -3337
-4025 1896 -3295
-4025 1896 -3295
-4025 1896 -3295
-4025 1896 -3295
-4025 1896 -3295
-4025 1896 -3295
-4025 1896 -3295
-4025 1896 -3295
-4068 1852 -3200
-4068 1852 -3200
-4068 1852 -3200
-4068 1852 -3200
-4068 1852 -3200
-4068 1852 -3200
-4068 1852 -3200
-4068 1852 -3200
-4090 1561 -3100
-4090 1561 -3100
-4090 1561 -3100
-4090 1561 -3100
-4090 1561 -3100
-4090 1561 -3100
-4090 1561 -3100
-4090 1561 -3100
-4089 1282 -3065
-4089 1282 -3065
-4089 1282 -3065
-4089 1282 -3065
-4089 1282 -3065
-4089 1282 -3065
-4089 1282 -3065
-4089 1282 -3065
-4092 1087 -2898
-4092 1087 -2898
-4092 1087 -2898
-4092 1087 -2898
-4092 1087 -2898
-4092 1087 -2898
-4092 1087 -2898
-4092 575 -2740
-4103 766 -2740
-4103 766 -2740
-4103 766 -2740
-4103 766 -2740
-4103 766 -2740
-4103 766 -2740
-4103 766 -2740
-3998 348 -2646
-3998 348 -2646
-3998 348 -2646
-3998 348 -2646
-3998 348 -2646
-3998 348 -2646
-3998 348 -2646
-3998 348 -2646
-3914 62 -2624
-3914 62 -2624
-3914 62 -2624
-3914 62 -2624
-3914 62 -2624
-3914 62 -2624
-3914 62 -2624
-3914 62 -2624
-3889 -69 -2613
-3889 -69 -2613
-3889 -69 -2613
-3889 -69 -2613
-3889 -69 -2613
-3889 -69 -2613
-3889 -69 -2613
-3889 -69 -2613
-3863 -71 -2649
-3863 -71 -2649
-3863 -71 -2649
-3863 -71 -2649
-3863 -71 -2649
-3863 -71 -2649
-3863 -71 -2649
-3863 -71 -2649
-3901 -31 -2692
-3901 -31 -2692
-3901 -31 -2692
-3901 -31 -2692
-3901 -31 -2692
-3901 -31 -2692
-3901 -31 -2692
-3901 -31 -2692
-3927 142 -2674
-3927 142 -2674
-3927 142 -2674
-3927 142 -2674
-3927 142 -2674
-3927 142 -2674
-3927 142 -2674
-3927 142 -2674
-3945 240 -2717
-3945 240 -2717
-3945 240 -2717
-3945 240 -2717
-3945 240 -2717
-3945 240 -2717
-3945 240 -2717
-3945 240 -2717
-4000 432 -2710
-4000 432 -2710
-4000 432 -2710
-4000 432 -2710
-4000 432 -2710
-4000 432 -2710
-4000 432 -2710
-4000 432 -2710
-4034 704 -2898
-4034 704 -2898
-4034 704 -2898
-4034 704 -2898
-4034 704 -2898
-4034 704 -2898
-4034 704 -2898
-4034 704 -2898
-4065 974 -3142
-4065 974 -3142
-4065 974 -3142
-4065 974 -3142
-4065 974 -3142
-4065 974 -3142
-4065 974 -3142
-4065 974 -3142
-4084 1210 -3307
-4084 1210 -3307
-4084 1210 -3307
-4084 1210 -3307
-4084 1210 -3307
-4084 1210 -3307
-4084 1210 -3307
-4084 1210 -3307
-4031 1436 -3595
-4031 1436 -3595
-4031 1436 -3595
-4031 1436 -3595
-4031 1436 -3595
-4031 1436 -3595
-4031 1436 -3595
-4031 1436 -3595
-3987 1578 -3832
-3987 1578 -3832
-3987 1578 -3832
-3987 1578 -3832
-3987 1578 -3832
-3987 1578 -3832
-3987 1578 -3832
-3987 1578 -3832
-3878 1706 -4130
-3878 1706 -4130
-3878 1706 -4130
-3878 1706 -4130
-3878 1706 -4130
-3878 1706 -4130
-3878 1706 -4130
-3878 1706 -4130
-3752 1732 -4522
-3752 1732 -4522
-3752 1732 -4522
-3752 1732 -4522
-3752 1732 -4522
-3752 1732 -4522
-3752 1732 -4522
-3752 1732 -4522
-3556 1648 -4887
-3556 1648 -4887
-3556 1648 -4887
-3556 1648 -4887
-3556 1648 -4887
-3556 1648 -4887
-3556 1648 -4887
-3556 1648 -4887
-3341 1381 -5241
-3341 1381 -5241
-3341 1381 -5241
-3341 1381 -5241
-3341 1381 -5241
-3341 1381 -5241
-3341 1381 -5241
-3341 1381 -5241
-3188 1079 -5450
-3188 1079 -5450
-3188 1079 -5450
-3188 1079 -5450
-3188 1079 -5450
-3188 1079 -5450
-3188 1079 -5450
-3188 1079 -5450
-3045 553 -5584
-3045 553 -5584
-3045 553 -5584
-3045 553 -5584
-3045 553 -5584
-3045 553 -5584
-3045 553 -5584
-3045 553 -5584
-2947 27 -5537
-2947 27 -5537
-2947 27 -5537
-2947 27 -5537
-2947 27 -5537
-2947 27 -5537
-2947 27 -5537
-2947 27 -5537
-2958 -482 -5245
-2958 -482 -5245
-2958 -482 -5245
-2958 -482 -5245
-2958 -482 -5245
-2958 -482 -5245
-2958 -482 -5245
-2958 -482 -5245
-3020 -852 -4875
-3020 -852 -4875
-3020 -852 -4875
-3020 -852 -4875
-3020 -852 -4875
-3020 -852 -4875
-3020 -852 -4875
-3020 -852 -4875
-3094 -1124 -4425
-3094 -1124 -4425
-3094 -1124 -4425
-3094 -1124 -4425
-3094 -1124 -4425
-3094 -1124 -4425
-3094 -1124 -4425
-3094 -1124 -4425
-3257 -1178 -4019
-3257 -1178 -4019
-3257 -1178 -4019
-3257 -1178 -4019
-3257 -1178 -4019
-3257 -1178 -4019
-3257 -1178 -4019
-3257 -1178 -4019
-3428 -1020 -3520
-3428 -1020 -3520
-3428 -1020 -3520
-3428 -1020 -3520
-3428 -1020 -3520
-3428 -1020 -3520
-3428 -1020 -3520
-3428 -1020 -3520
-3612 -707 -3009
-3612 -707 -3009
-3612 -707 -3009
-3612 -707 -3009
-3612 -707 -3009
-3612 -707 -3009
-3612 -707 -3009
-3612 -707 -3009
-3839 -229 -2673
-3839 -229 -2673
-3839 -229 -2673
-3839 -229 -2673
-3839 -229 -2673
-3839 -229 -2673
-3839 -229 -2673
-3839 -229 -2673
-3946 234 -2722
-3946 234 -2722
-3946 234 -2722
-3946 234 -2722
-3946 234 -2722
-3946 234 -2722
-3946 234 -2722
-4039 465 -3082
-4039 465 -3082
-4039 465 -3082
-4039 465 -3082
-4039 465 -3082
-4039 465 -3082
-4039 465 -3082
-4039 465 -3082
-3998 578 -3625
-3998 578 -3625
-3998 578 -3625
-3998 578 -3625
-3998 578 -3625
-3998 578 -3625
-3998 578 -3625
-3998 578 -3625
-3804 536 -4266
-3804 536 -4266
-3804 536 -4266
-3804 536 -4266
-3804 536 -4266
-3804 536 -4266
-3804 536 -4266
-3804 536 -4266
-3395 494 -5057
-3395 494 -5057
-3395 494 -5057
-3395 494 -5057
-3395 494 -5057
-3395 494 -5057
-3395 494 -5057
-3395 494 -5057
-2709 602 -5897
-2709 602 -5897
-2709 602 -5897
-2709 602 -5897
-2709 602 -5897
-2709 602 -5897
-2709 602 -5897
-2709 602 -5897
-1844 652 -6283
-1844 652 -6283
-1844 652 -6283
-1844 652 -6283
-1844 652 -6283
-1844 652 -6283
-1844 652 -6283
-1844 652 -6283
-1072 727 -6404
-1072 727 -6404
-1072 727 -6404
-1072 727 -6404
-1072 727 -6404
-1072 727 -6404
-1072 727 -6404
-1072 727 -6404
-420 845 -6352
-420 845 -6352
-420 845 -6352
-420 845 -6352
-420 845 -6352
-420 845 -6352
-420 845 -6352
-420 845 -6352
107 953 -6321
107 953 -6321
107 953 -6321
107 953 -6321
107 953 -6321
107 953 -6321
107 953 -6321
107 953 -6321
443 1119 -6213
443 1119 -6213
443 1119 -6213
443 1119 -6213
443 1119 -6213
443 1119 -6213
443 1119 -6213
443 1119 -6213
656 1402 -6071
656 1402 -6071
656 1402 -6071
656 1402 -6071
656 1402 -6071
656 1402 -6071
656 1402 -6071
656 1402 -6071
313 1646 -6157
313 1646 -6157
313 1646 -6157
313 1646 -6157
313 1646 -6157
313 1646 -6157
313 1646 -6157
313 1646 -6157
-104 1784 -6257
-104 1784 -6257
-104 1784 -6257
-104 1784 -6257
-104 1784 -6257
-104 1784 -6257
-104 1784 -6257
-104 1784 -6257
-826 1650 -6346
-826 1650 -6346
-826 1650 -6346
-826 1650 -6346
-826 1650 -6346
-826 1650 -6346
-826 1650 -6346
-826 1650 -6346
-1812 1082 -6287
-1812 1082 -6287
-1812 1082 -6287
-1812 1082 -6287
-1812 1082 -6287
-1812 1082 -6287
-1812 1082 -6287
-1812 1082 -6287
-2696 422 -5778
-2696 422 -5778
-2696 422 -5778
-2696 422 -5778
-2696 422 -5778
-2696 422 -5778
-2696 422 -5778
-2696 422 -5778
-3241 -279 -4981
-3241 -279 -4981
-3241 -279 -4981
-3241 -279 -4981
-3241 -279 -4981
-3241 -279 -4981
-3241 -279 -4981
-3241 -279 -4981
-3434 -735 -4150
-3434 -735 -4150
-3434 -735 -4150
-3434 -735 -4150
-3434 -735 -4150
-3434 -735 -4150
-3434 -735 -4150
-3434 -735 -4150
-3445 -967 -3347
-3445 -967 -3347
-3445 -967 -3347
-3445 -967 -3347
-3445 -967 -3347
-3445 -967 -3347
-3445 -967 -3347
-3445 -967 -3347
-3447 -1022 -2880
-3447 -1022 -2880
-3447 -1022 -2880
-3447 -1022 -2880
-3447 -1022 -2880
-3447 -1022 -2880
-3447 -1022 -2880
-3447 -1022 -2880
-3605 -775 -2721
-3605 -775 -2721
-3605 -775 -2721
-3605 -775 -2721
-3605 -775 -2721
-3605 -775 -2721
-3605 -775 -2721
-3605 -775 -2721
-3888 -261 -2788
-3888 -261 -2788
-3888 -261 -2788
-3888 -261 -2788
-3888 -261 -2788
-3888 -261 -2788
-3888 -261 -2788
-3888 -261 -2788
-4127 395 -3051
-4127 395 -3051
-4127 395 -3051
-4127 395 -3051
-4127 395 -3051
-4127 395 -3051
-4127 395 -3051
-4127 395 -3563
-4157 1110 -3386
-4157 1110 -3386
-4157 1110 -3386
-4157 1110 -3386
-4157 1110 -3386
-4157 1110 -3386
-4157 1110 -3386
-4010 2103 -3489
-4010 2103 -3489
-4010 2103 -3489
-4010 2103 -3489
-4010 2103 -3489
-4010 2103 -3489
-4010 2103 -3489
-4010 2103 -3489
-3479 3042 -3582
-3479 3042 -3582
-3479 3042 -3582
-3479 3042 -3582
-3479 3042 -3582
-3479 3042 -3582
-3479 3042 -3582
-3479 3042 -3582
-2681 3694 -3324
-2681 3694 -3324
-2681 3694 -3324
-2681 3694 -3324
-2681 3694 -3324
-2681 3694 -3324
-2681 3694 -3324
-2681 3694 -3324
-1761 4040 -2860
-1761 4040 -2860
-1761 4040 -2860
-1761 4040 -2860
-1761 4040 -2860
-1761 4040 -2860
-1761 4040 -2860
-1761 4040 -2860
-1161 4032 -2220
-1161 4032 -2220
-1161 4032 -2220
-1161 4032 -2220
-1161 4032 -2220
-1161 4032 -2220
-1161 4032 -2220
-1161 4032 -2220
-785 3965 -1943
-785 3965 -1943
-785 3965 -1943
-785 3965 -1943
-785 3965 -1943
-785 3965 -1943
-785 3965 -1943
-785 3965 -1943
-652 3941 -1822
-652 3941 -1822
-652 3941 -1822
-652 3941 -1822
-652 3941 -1822
-652 3941 -1822
-652 3941 -1822
-652 3941 -1822
-256 3952 -1961
-256 3952 -1961
-256 3952 -1961
-256 3952 -1961
-256 3952 -1961
-256 3952 -1961
-256 3952 -1961
-256 3952 -1961
-27 3892 -2072
-27 3892 -2072
-27 3892 -2072
-27 3892 -2072
-27 3892 -2072
-27 3892 -2072
-27 3892 -2072
-27 3892 -2072
146 3921 -2326
146 3921 -2326
146 3921 -2326
146 3921 -2326
146 3921 -2326
146 3921 -2326
146 3921 -2326
146 3921 -2326
301 3867 -2459
301 3867 -2459
301 3867 -2459
301 3867 -2459
301 3867 -2459
301 3867 -2459
301 3867 -2459
301 3867 -2459
405 3841 -2444
405 3841 -2444
405 3841 -2444
405 3841 -2444
405 3841 -2444
405 3841 -2444
405 3841 -2444
405 3841 -2444
882 3548 -2050
882 3548 -2050
882 3548 -2050
882 3548 -2050
882 3548 -2050
882 3548 -2050
882 3548 -2050
882 3548 -2050
913 3379 -1683
913 3379 -1683
913 3379 -1683
913 3379 -1683
913 3379 -1683
913 3379 -1683
913 3379 -1683
913 3379 -1683
-78 3668 -1397
-78 3668 -1397
-78 3668 -1397
-78 3668 -1397
-78 3668 -1397
-78 3668 -1397
-78 3668 -1397
-78 3668 -1397
415 3213 -1109
415 3213 -1109
415 3213 -1109
415 3213 -1109
415 3213 -1109
415 3213 -1109
415 3213 -1109
415 3213 -1109
810 2605 -653
810 2605 -653
810 2605 -653
810 2605 -653
810 2605 -653
810 2605 -653
810 2605 -653
810 2605 -653
1160 2035 -491
1160 2035 -491
1160 2035 -491
1160 2035 -491
1160 2035 -491
1160 2035 -491
1160 2035 -491
1160 2035 -491
1497 1198 -585
1497 1198 -585
1497 1198 -585
1497 1198 -585
1497 1198 -585
1497 1198 -585
1497 1198 -585
1497 1198 -585
1757 305 -738
1757 305 -738
1757 305 -738
1757 305 -738
1757 305 -738
1757 305 -738
1757 305 -738
1757 305 -738
1745 -453 -1062
1745 -453 -1062
1745 -453 -1062
1745 -453 -1062
1745 -453 -1062
1745 -453 -1062
1745 -453 -1062
1745 -453 -1062
1479 -985 -1188
1479 -985 -1188
1479 -985 -1188
1479 -985 -1188
1479 -985 -1188
1479 -985 -1188
1479 -985 -1188
1479 -985 -1188
1100 -1525 -1311
1100 -1525 -1311
1100 -1525 -1311
1100 -1525 -1311
1100 -1525 -1311
1100 -1525 -1311
1100 -1525 -1311
1100 -1525 -1311
448 -1906 -1331
448 -1906 -1331
448 -1906 -1331
448 -1906 -1331
448 -1906 -1331
448 -1906 -1331
448 -1906 -1331
448 -1906 -1331
-605 -2019 -1199
-605 -2019 -1199
-605 -2019 -1199
-605 -2019 -1199
-605 -2019 -1199
-605 -2019 -1199
-605 -2019 -1199
-605 -2019 -1199
-1610 -1731 -1102
-1610 -1731 -1102
-1610 -1731 -1102
-1610 -1731 -1102
-1610 -1731 -1102
-1610 -1731 -1102
-1610 -1731 -1102
-1610 -1731 -1102
-2224 -1437 -1240
-2224 -1437 -1240
-2224 -1437 -1240
-2224 -1437 -1240
-2224 -1437 -1240
-2224 -1437 -1240
-2224 -1437 -1240
-2224 -1437 -1240
-2656 -1175 -1452
-2656 -1175 -1452
-2656 -1175 -1452
-2656 -1175 -1452
-2656 -1175 -1452
-2656 -1175 -1452
-2656 -1175 -1452
-2656 -1175 -1452
-3039 -944 -1757
-3039 -944 -1757
-3039 -944 -1757
-3039 -944 -1757
-3039 -944 -1757
-3039 -944 -1757
-3039 -944 -1757
-3039 -944 -1757
-3384 -719 -2093
-3384 -719 -2093
-3384 -719 -2093
-3384 -719 -2093
-3384 -719 -2093
-3384 -719 -2093
-3384 -719 -2093
-3384 -719 -2093
-3576 -385 -2106
-3576 -385 -2106
-3576 -385 -2106
-3576 -385 -2106
-3576 -385 -2106
-3576 -385 -2106
-3576 -385 -2106
-3576 -385 -2106
-3677 -211 -2192
-3677 -211 -2192
-3677 -211 -2192
-3677 -211 -2192
-3677 -211 -2192
-3677 -211 -2192
-3677 -211 -2192
-3677 -211 -2258
-3750 -146 -2258
-3750 -146 -2258
-3750 -146 -2258
-3750 -146 -2258
-3750 -146 -2258
-3750 -146 -2258
-3750 -146 -2258
-3726 -158 -2329
-3726 -158 -2329
-3726 -158 -2329
-3726 -158 -2329
-3726 -158 -2329
-3726 -158 -2329
-3726 -158 -2329
-3726 -158 -2329
-3701 -144 -2288
-3701 -144 -2288
-3701 -144 -2288
-3701 -144 -2288
-3701 -144 -2288
-3701 -144 -2288
-3701 -144 -2288
-3701 -144 -2288
-3632 -220 -2170
-3632 -220 -2170
-3632 -220 -2170
-3632 -220 -2170
-3632 -220 -2170
-3632 -220 -2170
-3632 -220 -2170
-3632 -220 -2170
-3567 -315 -1970
-3567 -315 -1970
-3567 -315 -1970
-3567 -315 -1970
-3567 -315 -1970
-3567 -315 -1970
-3567 -315 -1970
-3567 -315 -1970
-3548 -285 -1921
-3548 -285 -1921
-3548 -285 -1921
-3548 -285 -1921
