xmag ymag zmag
-2104 1409 -278
-2090 1380 -295
-2090 1380 -295
-2090 1380 -295
-2090 1380 -295
-2090 1380 -295
-2090 1380 -295
-2090 1380 -295
-2090 1380 -295
-2131 1391 -274
-2131 1391 -274
-2131 1391 -274
-2131 1391 -274
-2131 1391 -274
-2131 1391 -274
-2131 1391 -274
-2131 1391 -274
-2129 1414 -296
-2129 1414 -296
-2129 1414 -296
-2129 1414 -296
-2129 1414 -296
-2129 1414 -296
-2129 1414 -296
-2129 1414 -296
-2115 1413 -320
-2115 1413 -320
-2115 1413 -320
-2115 1413 -320
-2115 1413 -320
-2115 1413 -320
-2115 1413 -320
-2115 1413 -320
-2106 1408 -314
-2106 1408 -314
-2106 1408 -314
-2106 1408 -314
-2106 1408 -314
-2106 1408 -314
-2106 1408 -314
-2106 1408 -314
-2086 1375 -324
-2086 1375 -324
-2086 1375 -324
-2086 1375 -324
-2086 1375 -324
-2086 1375 -324
-2086 1375 -324
-2086 1375 -324
-2076 1388 -311
-2076 1388 -311
-2076 1388 -311
-2076 1388 -311
-2076 1388 -311
-2076 1388 -311
-2076 1388 -311
-2076 1388 -311
-2055 1400 -272
-2055 1400 -272
-2055 1400 -272
-2055 1400 -272
-2055 1400 -272
-2055 1400 -272
-2055 1400 -272
-2055 1400 -272
-2055 1372 -334
-2055 1372 -334
-2055 1372 -334
-2055 1372 -334
-2055 1372 -334
-2055 1372 -334
-2055 1372 -334
-2055 1372 -334
-2108 1397 -317
-2108 1397 -317
-2108 1397 -317
-2108 1397 -317
-2108 1397 -317
-2108 1397 -317
-2108 1397 -317
-2108 1397 -317
-2096 1393 -322
-2096 1393 -322
-2096 1393 -322
-2096 1393 -322
-2096 1393 -322
-2096 1393 -322
-2096 1393 -322
-2096 1393 -322
-2084 1376 -313
-2084 1376 -313
-2084 1376 -313
-2084 1376 -313
-2084 1376 -313
-2084 1376 -313
-2084 1376 -313
-2084 1376 -313
-2061 1407 -264
-2061 1407 -264
-2061 1407 -264
-2061 1407 -264
-2061 1407 -264
-2061 1407 -264
-2061 1407 -264
-2061 1407 -264
-2062 1413 -282
-2062 1413 -282
-2062 1413 -282
-2062 1413 -282
-2062 1413 -282
-2062 1413 -282
-2062 1413 -282
-2062 1413 -282
-2097 1397 -279
-2097 1397 -279
-2097 1397 -279
-2097 1397 -279
-2097 1397 -279
-2097 1397 -279
-2097 1397 -279
-2097 1397 -279
-2084 1362 -290
-2084 1362 -290
-2084 1362 -290
-2084 1362 -290
-2084 1362 -290
-2084 1362 -290
-2084 1362 -290
-2084 1362 -290
-2092 1382 -259
-2092 1382 -259
-2092 1382 -259
-2092 1382 -259
-2092 1382 -259
-2092 1382 -259
-2092 1382 -259
-2092 1414 -330
-2066 1414 -330
-2066 1414 -330
-2066 1414 -330
-2066 1414 -330
-2066 1414 -330
-2066 1414 -330
-2066 1414 -330
-2070 1392 -282
-2070 1392 -282
-2070 1392 -282
-2070 1392 -282
-2070 1392 -282
-2070 1392 -282
-2070 1392 -282
-2070 1392 -282
-2062 1390 -239
-2062 1390 -239
-2062 1390 -239
-2062 1390 -239
-2062 1390 -239
-2062 1390 -239
-2062 1390 -239
-2062 1390 -239
-2068 1398 -236
-2068 1398 -236
-2068 1398 -236
-2068 1398 -236
-2068 1398 -236
-2068 1398 -236
-2068 1398 -236
-2068 1398 -236
-2068 1398 -183
-2068 1398 -183
-2068 1398 -183
-2068 1398 -183
-2068 1398 -183
-2068 1398 -183
-2068 1398 -183
-2068 1398 -183
-2037 1404 -241
-2037 1404 -241
-2037 1404 -241
-2037 1404 -241
-2037 1404 -241
-2037 1404 -241
-2037 1404 -241
-2037 1404 -241
-2085 1418 -272
-2085 1418 -272
-2085 1418 -272
-2085 1418 -272
-2085 1418 -272
-2085 1418 -272
-2085 1418 -272
-2085 1418 -272
-2042 1379 -261
-2042 1379 -261
-2042 1379 -261
-2042 1379 -261
-2042 1379 -261
-2042 1379 -261
-2042 1379 -261
-2042 1379 -261
-2040 1390 -229
-2040 1390 -229
-2040 1390 -229
-2040 1390 -229
-2040 1390 -229
-2040 1390 -229
-2040 1390 -229
-2040 1390 -229
-2074 1388 -268
-2074 1388 -268
-2074 1388 -268
-2074 1388 -268
-2074 1388 -268
-2074 1388 -268
-2074 1388 -268
-2074 1388 -268
-2060 1384 -244
-2060 1384 -244
-2060 1384 -244
-2060 1384 -244
-2060 1384 -244
-2060 1384 -244
-2060 1384 -244
-2060 1384 -244
-2050 1409 -223
-2050 1409 -223
-2050 1409 -223
-2050 1409 -223
-2050 1409 -223
-2050 1409 -223
-2050 1409 -223
-2050 1409 -223
-2019 1417 -256
-2019 1417 -256
-2019 1417 -256
-2019 1417 -256
-2019 1417 -256
-2019 1417 -256
-2019 1417 -256
-2019 1417 -256
-2039 1415 -276
-2039 1415 -276
-2039 1415 -276
-2039 1415 -276
-2039 1415 -276
-2039 1415 -276
-2039 1415 -276
-2039 1415 -276
-2043 1400 -254
-2043 1400 -254
-2043 1400 -254
-2043 1400 -254
-2043 1400 -254
-2043 1400 -254
-2043 1400 -254
-2043 1400 -254
-2038 1420 -275
-2038 1420 -275
-2038 1420 -275
-2038 1420 -275
-2038 1420 -275
-2038 1420 -275
-2038 1420 -275
-2038 1420 -275
-2035 1411 -257
-2035 1411 -257
-2035 1411 -257
-2035 1411 -257
-2035 1411 -257
-2035 1411 -257
-2035 1411 -257
-2035 1411 -257
-2017 1409 -252
-2017 1409 -252
-2017 1409 -252
-2017 1409 -252
-2017 1409 -252
-2017 1409 -252
-2017 1409 -252
-2017 1409 -252
-2009 1411 -286
-2009 1411 -286
-2009 1411 -286
-2009 1411 -286
-2009 1411 -286
-2009 1411 -286
-2009 1411 -286
-2009 1411 -286
-2040 1410 -291
-2040 1410 -291
-2040 1410 -291
-2040 1410 -291
-2040 1410 -291
-2040 1410 -291
-2040 1410 -291
-2040 1410 -291
-2023 1391 -252
-2023 1391 -252
-2023 1391 -252
-2023 1391 -252
-2023 1391 -252
-2023 1391 -252
-2023 1391 -252
-2023 1391 -252
-2051 1445 -299
-2051 1445 -299
-2051 1445 -299
-2051 1445 -299
-2051 1445 -299
-2051 1445 -299
-2051 1445 -299
-2051 1445 -299
-2007 1382 -331
-2007 1382 -331
-2007 1382 -331
-2007 1382 -331
-2007 1382 -331
-2007 1382 -331
-2007 1382 -331
-2007 1382 -331
-2011 1406 -257
-2011 1406 -257
-2011 1406 -257
-2011 1406 -257
-2011 1406 -257
-2011 1406 -257
-2011 1406 -257
-2011 1406 -257
-1993 1355 -253
-1993 1355 -253
-1993 1355 -253
-1993 1355 -253
-1993 1355 -253
-1993 1355 -253
-1993 1355 -253
-1993 1355 -253
-2028 1372 -291
-2028 1372 -291
-2028 1372 -291
-2028 1372 -291
-2028 1372 -291
-2028 1372 -291
-2028 1372 -291
-2028 1372 -291
-2016 1398 -274
-2016 1398 -274
-2016 1398 -274
