xmag ymag zmag
2365 435 -1744
2336 434 -1716
2336 434 -1716
2336 434 -1716
2336 434 -1716
2336 434 -1716
2336 434 -1716
2336 434 -1716
2336 434 -1716
2348 446 -1761
2348 446 -1761
2348 446 -1761
2348 446 -1761
2348 446 -1761
2348 446 -1761
2348 446 -1761
2348 446 -1761
2356 445 -1690
2356 445 -1690
2356 445 -1690
2356 445 -1690
2356 445 -1690
2356 445 -1690
2356 445 -1690
2356 445 -1690
2346 422 -1769
2346 422 -1769
2346 422 -1769
2346 422 -1769
2346 422 -1769
2346 422 -1769
2346 422 -1769
2346 422 -1769
2345 422 -1701
2345 422 -1701
2345 422 -1701
2345 422 -1701
2345 422 -1701
2345 422 -1701
2345 422 -1701
2345 422 -1701
2349 467 -1765
2349 467 -1765
2349 467 -1765
2349 467 -1765
2349 467 -1765
2349 467 -1765
2349 467 -1765
2349 467 -1765
2341 452 -1756
2341 452 -1756
2341 452 -1756
2341 452 -1756
2341 452 -1756
2341 452 -1756
2341 452 -1756
2341 452 -1756
2363 489 -1777
2363 489 -1777
2363 489 -1777
2363 489 -1777
2363 489 -1777
2363 489 -1777
2363 489 -1777
2363 489 -1777
2355 493 -1739
2355 493 -1739
2355 493 -1739
2355 493 -1739
2355 493 -1739
2355 493 -1739
2355 493 -1739
2355 493 -1739
2388 455 -1766
2388 455 -1766
2388 455 -1766
2388 455 -1766
2388 455 -1766
2388 455 -1766
2388 455 -1766
2388 455 -1766
2347 441 -1789
2347 441 -1789
2347 441 -1789
2347 441 -1789
2347 441 -1789
2347 441 -1789
2347 441 -1789
2347 441 -1789
2347 475 -1787
2347 475 -1787
2347 475 -1787
2347 475 -1787
2347 475 -1787
2347 475 -1787
2347 475 -1787
2347 475 -1787
2353 447 -1800
2353 447 -1800
2353 447 -1800
2353 447 -1800
2353 447 -1800
2353 447 -1800
2353 447 -1800
2353 447 -1800
2324 439 -1803
2324 439 -1803
2324 439 -1803
2324 439 -1803
2324 439 -1803
2324 439 -1803
2324 439 -1803
2324 439 -1803
2360 433 -1817
2360 433 -1817
2360 433 -1817
2360 433 -1817
2360 433 -1817
2360 433 -1817
2360 433 -1817
2360 433 -1817
2371 450 -1783
2371 450 -1783
2371 450 -1783
2371 450 -1783
2371 450 -1783
2371 450 -1783
2371 450 -1783
2371 450 -1783
2345 420 -1751
2345 420 -1751
2345 420 -1751
2345 420 -1751
2345 420 -1751
2345 420 -1751
2345 420 -1751
2345 420 -1751
2382 411 -1778
2382 411 -1778
2382 411 -1778
2382 411 -1778
2382 411 -1778
2382 411 -1778
2382 411 -1778
2382 411 -1778
2344 444 -1745
2344 444 -1745
2344 444 -1745
2344 444 -1745
2344 444 -1745
2344 444 -1745
2344 444 -1745
2344 444 -1745
2356 419 -1782
2356 419 -1782
2356 419 -1782
2356 419 -1782
2356 419 -1782
2356 419 -1782
2356 419 -1782
2356 419 -1782
2349 428 -1719
2349 428 -1719
2349 428 -1719
2349 428 -1719
2349 428 -1719
2349 428 -1719
2349 428 -1719
2349 428 -1739
2374 416 -1739
2374 416 -1739
2374 416 -1739
2374 416 -1739
2374 416 -1739
2374 416 -1739
2374 416 -1739
2363 412 -1692
2363 412 -1692
2363 412 -1692
2363 412 -1692
2363 412 -1692
2363 412 -1692
2363 412 -1692
2363 412 -1692
2331 432 -1732
2331 432 -1732
2331 432 -1732
2331 432 -1732
2331 432 -1732
2331 432 -1732
2331 432 -1732
2331 432 -1732
2339 433 -1708
2339 433 -1708
2339 433 -1708
2339 433 -1708
2339 433 -1708
2339 433 -1708
2339 433 -1708
2339 433 -1708
2345 470 -1701
2345 470 -1701
2345 470 -1701
2345 470 -1701
2345 470 -1701
2345 470 -1701
2345 470 -1701
2345 470 -1701
2327 451 -1725
2327 451 -1725
2327 451 -1725
2327 451 -1725
2327 451 -1725
2327 451 -1725
2327 451 -1725
2327 451 -1725
2338 461 -1715
2338 461 -1715
2338 461 -1715
2338 461 -1715
2338 461 -1715
2338 461 -1715
2338 461 -1715
2338 461 -1715
2348 486 -1751
2348 486 -1751
2348 486 -1751
2348 486 -1751
2348 486 -1751
2348 486 -1751
2348 486 -1751
2348 486 -1751
2321 480 -1735
2321 480 -1735
2321 480 -1735
2321 480 -1735
2321 480 -1735
2321 480 -1735
2321 480 -1735
2321 480 -1735
2323 472 -1727
2323 472 -1727
2323 472 -1727
2323 472 -1727
2323 472 -1727
2323 472 -1727
2323 472 -1727
2323 472 -1727
2346 465 -1786
2346 465 -1786
2346 465 -1786
2346 465 -1786
2346 465 -1786
2346 465 -1786
2346 465 -1786
2346 465 -1786
2334 474 -1699
2334 474 -1699
2334 474 -1699
2334 474 -1699
2334 474 -1699
2334 474 -1699
2334 474 -1699
2334 474 -1699
2336 447 -1687
2336 447 -1687
2336 447 -1687
2336 447 -1687
2336 447 -1687
2336 447 -1687
2336 447 -1687
2336 447 -1687
2364 442 -1759
2364 442 -1759
2364 442 -1759
2364 442 -1759
2364 442 -1759
2364 442 -1759
2364 442 -1759
2364 442 -1759
2340 448 -1718
2340 448 -1718
2340 448 -1718
2340 448 -1718
2340 448 -1718
2340 448 -1718
2340 448 -1718
2340 448 -1718
2345 452 -1688
2345 452 -1688
2345 452 -1688
2345 452 -1688
2345 452 -1688
2345 452 -1688
2345 452 -1688
2345 452 -1688
2329 457 -1715
2329 457 -1715
2329 457 -1715
2329 457 -1715
2329 457 -1715
2329 457 -1715
2329 457 -1715
2329 457 -1715
2317 497 -1735
2317 497 -1735
2317 497 -1735
2317 497 -1735
2317 497 -1735
2317 497 -1735
2317 497 -1735
2317 497 -1735
2333 498 -1665
2333 498 -1665
2333 498 -1665
2333 498 -1665
2333 498 -1665
2333 498 -1665
2333 498 -1665
2333 498 -1665
2325 519 -1706
2325 519 -1706
2325 519 -1706
2325 519 -1706
2325 519 -1706
2325 519 -1706
2325 519 -1706
2325 519 -1706
2328 481 -1686
2328 481 -1686
2328 481 -1686
2328 481 -1686
2328 481 -1686
2328 481 -1686
2328 481 -1686
2328 481 -1686
2317 475 -1718
2317 475 -1718
2317 475 -1718
2317 475 -1718
2317 475 -1718
2317 475 -1718
2317 475 -1718
2317 475 -1718
2349 470 -1716
2349 470 -1716
2349 470 -1716
2349 470 -1716
2349 470 -1716
2349 470 -1716
2349 470 -1716
2349 470 -1716
2343 454 -1722
2343 454 -1722
2343 454 -1722
2343 454 -1722
2343 454 -1722
2343 454 -1722
2343 454 -1722
2343 454 -1722
2296 440 -1696
2296 440 -1696
2296 440 -1696
2296 440 -1696
2296 440 -1696
2296 440 -1696
2296 440 -1696
2296 440 -1696
2349 450 -1662
2349 450 -1662
2349 450 -1662
2349 450 -1662
2349 450 -1662
2349 450 -1662
2349 450 -1662
2349 450 -1662
2332 464 -1748
2332 464 -1748
2332 464 -1748
2332 464 -1748
2332 464 -1748
2332 464 -1748
2332 464 -1748
2332 464 -1748
2347 494 -1733
2347 494 -1733
2347 494 -1733
2347 494 -1733
2347 494 -1733
2347 494 -1733
2347 494 -1733
2347 494 -1733
2349 488 -1745
2349 488 -1745
2349 488 -1745
2349 488 -1745
2349 488 -1745
2349 488 -1745
2349 488 -1745
2349 488 -1745
2366 445 -1755
2366 445 -1755
2366 445 -1755
2366 445 -1755
2366 445 -1755
2366 445 -1755
2366 445 -1755
2366 445 -1755
2319 496 -1736
2319 496 -1736
2319 496 -1736
2319 496 -1736
2319 496 -1736
2319 496 -1736
2319 496 -1736
2319 465 -1739
2344 465 -1739
2344 465 -1739
2344 465 -1739
2344 465 -1739
2344 465 -1739
2344 465 -1739
2344 465 -1739
2327 493 -1723
2327 493 -1723
2327 493 -1723
2327 493 -1723
2327 493 -1723
2327 493 -1723
2327 493 -1723
2327 493 -1723
2339 471 -1771
2339 471 -1771
2339 471 -1771
2339 471 -1771
2339 471 -1771
2339 471 -1771
2339 471 -1771
2339 471 -1771
2381 481 -1728
2381 481 -1728
2381 481 -1728
2381 481 -1728
2381 481 -1728
2381 481 -1728
2381 481 -1728
2381 481 -1728
2351 465 -1717
2351 465 -1717
2351 465 -1717
2351 465 -1717
2351 465 -1717
2351 465 -1717
2351 465 -1717
2351 465 -1717
2320 456 -1730
2320 456 -1730
2320 456 -1730
2320 456 -1730
2320 456 -1730
2320 456 -1730
2320 456 -1730
2320 456 -1730
2312 471 -1703
2312 471 -1703
2312 471 -1703
2312 471 -1703
2312 471 -1703
2312 471 -1703
2312 471 -1703
2312 471 -1703
2321 471 -1718
2321 471 -1718
2321 471 -1718
2321 471 -1718
2321 471 -1718
2321 471 -1718
2321 471 -1718
2321 471 -1718
2310 466 -1748
2310 466 -1748
2310 466 -1748
2310 466 -1748
2310 466 -1748
2310 466 -1748
2310 466 -1748
2310 466 -1748
2312 471 -1697
2312 471 -1697
2312 471 -1697
2312 471 -1697
2312 471 -1697
2312 471 -1697
2312 471 -1697
2312 471 -1697
2300 508 -1704
2300 508 -1704
2300 508 -1704
2300 508 -1704
2300 508 -1704
2300 508 -1704
2300 508 -1704
2300 508 -1704
2361 489 -1745
2361 489 -1745
2361 489 -1745
2361 489 -1745
2361 489 -1745
2361 489 -1745
2361 489 -1745
2361 489 -1745
2345 475 -1728
2345 475 -1728
2345 475 -1728
2345 475 -1728
2345 475 -1728
2345 475 -1728
2345 475 -1728
2345 475 -1728
2355 492 -1800
2355 492 -1800
2355 492 -1800
2355 492 -1800
2355 492 -1800
2355 492 -1800
2355 492 -1800
2355 492 -1800
2331 478 -1790
2331 478 -1790
2331 478 -1790
2331 478 -1790
2331 478 -1790
2331 478 -1790
2331 478 -1790
2331 478 -1790
2328 481 -1794
2328 481 -1794
2328 481 -1794
2328 481 -1794
2328 481 -1794
2328 481 -1794
2328 481 -1794
2328 481 -1794
2313 460 -1749
2313 460 -1749
2313 460 -1749
2313 460 -1749
2313 460 -1749
2313 460 -1749
2313 460 -1749
2313 460 -1749
2321 469 -1798
2321 469 -1798
2321 469 -1798
2321 469 -1798
2321 469 -1798
2321 469 -1798
2321 469 -1798
2321 469 -1798
2336 444 -1782
2336 444 -1782
2336 444 -1782
2336 444 -1782
2336 444 -1782
2336 444 -1782
2336 444 -1782
2336 444 -1782
2350 458 -1799
2350 458 -1799
2350 458 -1799
2350 458 -1799
2350 458 -1799
2350 458 -1799
2350 458 -1799
2350 458 -1799
2357 495 -1743
2357 495 -1743
2357 495 -1743
2357 495 -1743
2357 495 -1743
2357 495 -1743
2357 495 -1743
2357 495 -1743
2319 481 -1735
2319 481 -1735
2319 481 -1735
2319 481 -1735
2319 481 -1735
2319 481 -1735
2319 481 -1735
2319 481 -1735
2313 475 -1743
2313 475 -1743
2313 475 -1743
2313 475 -1743
2313 475 -1743
2313 475 -1743
2313 475 -1743
2313 475 -1743
2312 484 -1727
