xmag ymag zmag
-857 -152 -67
-868 -154 -119
-868 -154 -119
-868 -154 -119
-868 -154 -119
-868 -154 -119
-868 -154 -119
-868 -154 -119
-868 -154 -119
-806 -178 -112
-806 -178 -112
-806 -178 -112
-806 -178 -112
-806 -178 -112
-806 -178 -112
-806 -178 -112
-806 -178 -112
-829 -185 -160
-829 -185 -160
-829 -185 -160
-829 -185 -160
-829 -185 -160
-829 -185 -160
-829 -185 -160
-829 -185 -160
-830 -163 -114
-830 -163 -114
-830 -163 -114
-830 -163 -114
-830 -163 -114
-830 -163 -114
-830 -163 -114
-830 -163 -114
-770 -201 -142
-770 -201 -142
-770 -201 -142
-770 -201 -142
-770 -201 -142
-770 -201 -142
-770 -201 -142
-770 -201 -142
-831 -167 -81
-831 -167 -81
-831 -167 -81
-831 -167 -81
-831 -167 -81
-831 -167 -81
-831 -167 -81
-831 -167 -81
-834 -208 -66
-834 -208 -66
-834 -208 -66
-834 -208 -66
-834 -208 -66
-834 -208 -66
-834 -208 -66
-834 -208 -66
-813 -195 -106
-813 -195 -106
-813 -195 -106
-813 -195 -106
-813 -195 -106
-813 -195 -106
-813 -195 -106
-813 -195 -106
-818 -202 -116
-818 -202 -116
-818 -202 -116
-818 -202 -116
-818 -202 -116
-818 -202 -116
-818 -202 -116
-818 -202 -116
-851 -214 -100
-851 -214 -100
-851 -214 -100
-851 -214 -100
-851 -214 -100
-851 -214 -100
-851 -214 -100
-851 -214 -100
-863 -189 -134
-863 -189 -134
-863 -189 -134
-863 -189 -134
-863 -189 -134
-863 -189 -134
-863 -189 -134
-863 -189 -134
-817 -197 -170
-817 -197 -170
-817 -197 -170
-817 -197 -170
-817 -197 -170
-817 -197 -170
-817 -197 -170
-817 -197 -170
-858 -206 -178
-858 -206 -178
-858 -206 -178
-858 -206 -178
-858 -206 -178
-858 -206 -178
-858 -206 -178
-858 -206 -178
-877 -210 -135
-877 -210 -135
-877 -210 -135
-877 -210 -135
-877 -210 -135
-877 -210 -135
-877 -210 -135
-877 -210 -135
-826 -185 -131
-826 -185 -131
-826 -185 -131
-826 -185 -131
-826 -185 -131
-826 -185 -131
-826 -185 -131
-826 -185 -131
-842 -190 -149
-842 -190 -149
-842 -190 -149
-842 -190 -149
-842 -190 -149
-842 -190 -149
-842 -190 -149
-842 -190 -149
-811 -204 -119
-811 -204 -119
-811 -204 -119
-811 -204 -119
-811 -204 -119
-811 -204 -119
-811 -204 -119
-811 -204 -119
-830 -173 -134
-830 -173 -134
-830 -173 -134
-830 -173 -134
-830 -173 -134
-830 -173 -134
-830 -173 -134
-830 -173 -134
-806 -161 -117
-806 -161 -117
-806 -161 -117
-806 -161 -117
-806 -161 -117
-806 -161 -117
-806 -161 -117
-806 -161 -117
-807 -189 -106
-807 -189 -106
-807 -189 -106
-807 -189 -106
-807 -189 -106
-807 -189 -106
-807 -189 -106
-781 -190 -155
-781 -190 -155
-781 -190 -155
-781 -190 -155
-781 -190 -155
-781 -190 -155
-781 -190 -155
-781 -190 -155
-812 -210 -146
-812 -210 -146
-812 -210 -146
-812 -210 -146
-812 -210 -146
-812 -210 -146
-812 -210 -146
-812 -210 -146
-780 -187 -138
-780 -187 -138
-780 -187 -138
-780 -187 -138
-780 -187 -138
-780 -187 -138
-780 -187 -138
-780 -187 -138
-802 -194 -157
-802 -194 -157
-802 -194 -157
-802 -194 -157
-802 -194 -157
-802 -194 -157
-802 -194 -157
-802 -194 -157
-827 -212 -147
-827 -212 -147
-827 -212 -147
-827 -212 -147
-827 -212 -147
-827 -212 -147
-827 -212 -147
-827 -212 -147
-773 -173 -166
-773 -173 -166
-773 -173 -166
-773 -173 -166
-773 -173 -166
-773 -173 -166
-773 -173 -166
-773 -173 -166
